ID,test_id,web100_log_entry_log_time,connection_spec_client_ip,connection_spec_server_ip,connection_spec_client_hostname,connection_spec_client_application,connection_spec_client_browser,connection_spec_client_os,connection_spec_client_geolocation_city,connection_spec_client_geolocation_latitude,connection_spec_client_geolocation_longitude,downloadThroughput
142851632476.121.186.12938.102.0.109,2015/04/08/20150408T18:05:03.588408000Z_c-76-121-186-129.hsd1.wa.comcast.net:59562.s2c_snaplog.gz,1428516324,76.121.186.129,38.102.0.109,c-76-121-186-129.hsd1.wa.comcast.net,,BTWebClient/3420,Windows,Seattle,47.6062011719,-122.3320999146,7.1770315037
142851765966.212.64.17438.102.0.97,2015/04/08/20150408T18:27:15.539858000Z_174-64-212-66.spl.org:49370.s2c_snaplog.gz,1428517659,66.212.64.174,38.102.0.97,174-64-212-66.spl.org,,BTWebClient/3420,Windows,Seattle,47.6026000977,-122.3283996582,97.7232630166
1428519310184.78.141.4038.102.0.97,2015/04/08/20150408T18:54:48.272175000Z_184-78-141-40.war.clearwire-wmx.net:49352.s2c_snaplog.gz,1428519310,184.78.141.40,38.102.0.97,184-78-141-40.war.clearwire-wmx.net,,BTWebClient/3320,Windows,Seattle,47.6062011719,-122.3320999146,1.8155021002
142853058124.18.210.634.15.35.152,2015/04/08/20150408T22:03:01.534195000Z_c-24-18-210-63.hsd1.wa.comcast.net:57563.s2c_snaplog.gz,1428530581,24.18.210.63,4.15.35.152,,,,,Seattle,47.6062011719,-122.3320999146,31.3011411953
1428535548173.160.202.2138.102.0.109,2015/04/08/20150408T23:25:28.738307000Z_173-160-202-21-Washington.hfc.comcastbusiness.net:50172.s2c_snaplog.gz,1428535548,173.160.202.21,38.102.0.109,173-160-202-21-Washington.hfc.comcastbusiness.net,,BTWebClient/3410,Windows,Seattle,47.6062011719,-122.3320999146,2.805637137
142853728797.113.54.21738.102.0.83,2015/04/08/20150408T23:54:22.466250000Z_97-113-54-217.tukw.qwest.net:52476.s2c_snaplog.gz,1428537287,97.113.54.217,38.102.0.83,97-113-54-217.tukw.qwest.net,,,,Seattle,47.6062011719,-122.3320999146,7.2779902493
142853982676.104.147.107173.205.3.37,2015/04/09/20150409T00:36:53.154710000Z_c-76-104-147-107.hsd1.wa.comcast.net:59860.s2c_snaplog.gz,1428539826,76.104.147.107,173.205.3.37,,,,,Seattle,47.6062011719,-122.3320999146,29.5250299714
142854710467.171.17.8173.205.3.24,2015/04/09/20150409T02:38:11.136035000Z_c-67-171-17-8.hsd1.wa.comcast.net:50527.s2c_snaplog.gz,1428547104,67.171.17.8,173.205.3.24,,,,,Seattle,47.6355018616,-122.3235015869,18.0914519825
142854840274.94.77.9438.102.0.109,2015/04/09/20150409T02:59:42.448429000Z_74-94-177-94-NewEngland.hfc.comcastbusiness.net:7780.s2c_snaplog.gz,1428548402,74.94.77.94,38.102.0.109,74-94-177-94-NewEngland.hfc.comcastbusiness.net,,BTWebClient/7920,Windows,Seattle,47.6062011719,-122.3320999146,5.1704629724
142854972374.94.77.9438.102.0.109,2015/04/09/20150409T03:21:39.44211000Z_74-94-177-94-NewEngland.hfc.comcastbusiness.net:8390.s2c_snaplog.gz,1428549723,74.94.77.94,38.102.0.109,74-94-177-94-NewEngland.hfc.comcastbusiness.net,,BTWebClient/7920,Windows,Seattle,47.6062011719,-122.3320999146,5.1985651339
