id,survey_current_location,survey_normal_location,survey_normal_location_other,survey_location_performance,survey_applications,survey_other_software,survey_isp,survey_subscribe_download,survey_subscribe_upload,survey_bundle,survey_current_cost,survey_partner_org,actual_download,actual_upload,min_rtt,latitude,longitude,bigquery_key
,home,this_location,,worse,"hangouts-meet,school-specific",,Comteck,10 Mbps,,no,_81_to_100,,0,0,70,41,-86,
,home,this_location,,normal,"hangouts-meet,zoom",,,,,no,_81_to_100,,59,79,7,38,-122,
,home,this_location,,normal,zoom,,RCN,250,,no,_61_to_80,,38,16,11,42,-88,
,home,this_location,,normal,"hangouts-meet,zoom,school-specific",,ATT,,,yes,_61_to_80,,55,6,45,41,-82,
,home,this_location,,normal,"hangouts-meet,zoom,blue-jeans,skype,other-video-conferencing",Facetime,Verizon FiOS,75 Mbps,75 Mpbs,yes,_101_to_120,,80,84,10,39,-77,
,home,this_location,,normal,"zoom,other-video-conferencing,school-specific,other","Google suite (for docs, spreadsheets), Uberconference, Blackboard for school",Comcast/XFinity,,,yes,_61_to_80,,113,6,41,40,-75,
,home,other_location,,normal,"zoom,blue-jeans",,,50 Mbps,,yes,_21_to_40,,7,3,175,-35,-58,
,home,this_location,,worse,other-video-conferencing,Doxy,Cox,,,yes,_more_than_120,,19,9,98,33,-117,
,home,this_location,,normal,"zoom,skype",,Xfinity,,,default,default,,21,0,25,41,-73,
,home,other_location,OFFICE,worse,zoom,,COX COMMUNICATIONS,30Mbps,,no,_61_to_80,,54,3,68,30,-90,
,home,this_location,,normal,"jitsi-meet,other",LinkedIn Learning,Comcast,300,20,no,_81_to_100,,51,14,17,42,-88,
,home,other_location,work,normal,"zoom,other-video-conferencing,other",MS Teams,Centurylink,10 Mbps,1.5Mbps,yes,_61_to_80,,9,1,66,39,-92,
,home,this_location,,normal,"jitsi-meet,other",LinkedIn Learning,Comcast,300,20,no,_81_to_100,,195,13,10,42,-88,
,home,other_location,Work,normal,"zoom,skype",,Suddenlink,,,no,_41_to_60,,106,8,31,39,-93,
,office,this_location,,worse,"zoom,other-video-conferencing",,AT&T,18 meg,1.5 meg,yes,_101_to_120,,14,1,57,40,-93,
,home,other_location,"Washington, DC",normal,"hangouts-meet,zoom",,Verizon,200,200,no,_61_to_80,,53,23,12,39,-77,
,home,other_location,Office,normal,hangouts-meet,TEAMS,spectrum,300,,no,_81_to_100,,21,18,15,36,-80,
,home,other_location,Office/University,normal,"zoom,skype",,Comcast XFinity,175,8,no,_41_to_60,,193,5,7,48,-122,
,home,other_location,Office/University,normal,"zoom,skype",,Comcast XFinity,175,8,no,_41_to_60,,193,5,7,48,-122,
,home,this_location,,normal,zoom,,Antel,120 Mbps,20 Mbps,no,_21_to_40,,6,4,55,-35,-56,
,home,this_location,,worse,zoom,,Telmex,9.6 Mbps,1.9 Mbps,yes,_less_than_20,,0,1,107,21,-103,
,home,this_location,,worse,other,,,50 Mbps,,no,_21_to_40,,14,0,67,-3,-44,
,home,this_location,,normal,"zoom,blue-jeans,skype,jitsi-meet,other-video-conferencing,other",Microsoft Teams,ComHem,150 Mbps,15 Mbps,no,_41_to_60,,119,11,33,58,12,
,home,this_location,,normal,"hangouts-meet,skype",,OTW,,40 Mbps,no,_61_to_80,,31,10,24,-38,145,
,default,default,,normal,zoom,,,,,default,default,,4,6,24,,,
,home,this_location,,normal,"zoom,other-video-conferencing",,Metronet,,,no,_81_to_100,,233,157,11,40,-87,
,home,this_location,,normal,"zoom,skype",,Konecta,,,no,_less_than_20,,10,8,30,33,-117,
,home,this_location,,normal,other-video-conferencing,,,,,yes,_less_than_20,,1,8,148,-19,-48,
,home,this_location,,worse,"hangouts-meet,zoom,skype",,Webafrica/Vumatel,2,10,no,_41_to_60,,11,2,7,-26,28,
,home,this_location,,worse,"hangouts-meet,zoom,other-video-conferencing",webex & slack calls,verizon fios,,,yes,_41_to_60,,71,65,5,41,-74,
,home,this_location,,normal,hangouts-meet,,verizon,1000,1000,no,_61_to_80,,349,240,12,39,-77,
1,home,this_location,test,normal,"hangouts-meet,zoom",,Port Networks,50,10,no,_61_to_80,no_org_affiliation,4,4,48,39,-77,Sat Mar 28 2020 10:51:10 GMT-0400 (Eastern Daylight Time)
2,home,this_location,,worse,zoom,,Comcast,,,no,_81_to_100,media_justice,111,1,18,39,-77,Sat Mar 28 2020 12:04:54 GMT-0400 (Eastern Daylight Time)
3,home,this_location,,normal,zoom,,AXS,10 Mbps,2 Mbps,no,_21_to_40,no_org_affiliation,6,1,215,-16,-68,Sat Mar 28 2020 13:38:29 GMT-0400 (GMT-04:00)
4,home,this_location,,worse,"hangouts-meet,zoom",Microsoft Teams,Comcast,75 Mbps,,no,_21_to_40,no_org_affiliation,11,4,14,38,-122,Sat Mar 28 2020 16:59:49 GMT-0700 (Pacific Daylight Time)
5,home,this_location,,normal,"n,o,n,e",,Consolidated,3mbps,1 mbps,no,_41_to_60,no_org_affiliation,2,1,55,44,-69,Sat Mar 28 2020 23:16:38 GMT-0400 (EDT)
6,home,this_location,,normal,hangouts-meet,,Vodafone,,,yes,_41_to_60,no_org_affiliation,5,0,150,-38,145,Sun Mar 29 2020 20:14:54 GMT+1100 (AEDT)
7,home,this_location,,normal,"n,o,n,e",,,,,dont-know,_21_to_40,no_org_affiliation,12,6,24,44,11,Sun Mar 29 2020 17:23:15 GMT+0200 (Ora legale dell’Europa centrale)
8,home,other_location,school,normal,school-specific,,Direct tv ,,,dont-know,dont-know,no_org_affiliation,13,2,13,26,-80,Sun Mar 29 2020 15:35:22 GMT-0400 (Eastern Daylight Time)
9,home,this_location,,worse,zoom,,AT&T,1000 Mbps,1000 Mbps,no,_101_to_120,no_org_affiliation,403,372,5,34,-84,Sun Mar 29 2020 16:13:30 GMT-0400 (Eastern Daylight Time)
10,home,this_location,,normal,"zoom,skype,other-video-conferencing",Office 365 Teams,Verizon FIOS,,,yes,_61_to_80,media_justice,81,86,7,40,-75,Sun Mar 29 2020 21:17:02 GMT-0400 (Eastern Daylight Time)
11,home,this_location,,worse,other-video-conferencing,"Microsoft Teams, Outlook",Sonic,,,dont-know,_81_to_100,no_org_affiliation,25,6,23,38,-122,Sun Mar 29 2020 18:11:36 GMT-0700 (PDT)
12,home,default,test,normal,"n,o,n,e",,,,,default,default,no_org_affiliation,12,4,15,39,-77,Mon Mar 30 2020 08:35:31 GMT-0400 (Eastern Daylight Time)
13,home,this_location,,worse,"hangouts-meet,zoom,other-video-conferencing",,,450 mbps,12 mbps,no,_81_to_100,no_org_affiliation,348,12,10,39,-77,Mon Mar 30 2020 08:34:17 GMT-0400 (Eastern Daylight Time)
14,home,this_location,,worse,"hangouts-meet,zoom,skype,other-video-conferencing",,Comcast,450,13,no,_81_to_100,no_org_affiliation,341,13,15,39,-77,Mon Mar 30 2020 08:39:34 GMT-0400 (EDT)
15,home,other_location,downtown Chicago IL - zip code 60603,normal,"zoom,other-video-conferencing",Microsoft Teams,Xfinity from Comcast,100,2,no,_41_to_60,no_org_affiliation,61,6,12,42,-88,Mon Mar 30 2020 09:46:38 GMT-0500 (Central Daylight Time)
16,home,this_location,test,normal,"hangouts-meet,zoom",,,,,no,_61_to_80,no_org_affiliation,1,2,85,39,-77,Mon Mar 30 2020 11:34:57 GMT-0400 (Eastern Daylight Time)
17,home,this_location,,normal,zoom,,AT&T,,,yes,_61_to_80,no_org_affiliation,18,0,43,,,Mon Mar 30 2020 08:49:19 GMT-0700 (PDT)
18,home,this_location,,normal,zoom,,AT&T,,,yes,_61_to_80,no_org_affiliation,20,1,39,,,Mon Mar 30 2020 08:52:18 GMT-0700 (Pacific Daylight Time)
19,home,this_location,,worse,"other-video-conferencing,other","Google Duos, Google Voice, PS4 Multiplayer Game Servers, Roku Media Services",Not using for business purposes but still i have seemed to notice a somewhat modern decrease in performance on the network since the stay-at-home orders went into effect. I'm interested in tech and am someone eligible about networking.,30Mb/s,3Mb/s,no,_81_to_100,no_org_affiliation,20,3,31,38,-98,Mon Mar 30 2020 10:49:27 GMT-0500 (Central Daylight Time)
20,home,other_location,Office (during the day),normal,"zoom,other-video-conferencing,school-specific","MS Teams, BigBlueButton",Comcast Xfinity,,,yes,_101_to_120,no_org_affiliation,217,8,18,,,Mon Mar 30 2020 12:31:54 GMT-0400 (Eastern Daylight Time)
21,home,other_location,work,worse,zoom,Microsoft Teams,Spectrum,300,20,no,_41_to_60,no_org_affiliation,24,12,28,36,-79,Mon Mar 30 2020 11:47:04 GMT-0400 (Eastern Daylight Time)
22,home,this_location,,normal,"hangouts-meet,zoom",,Comcast,100mbps,4mpbs,yes,_81_to_100,no_org_affiliation,61,2,30,,,Mon Mar 30 2020 14:23:05 GMT-0400 (Eastern Daylight Time)
23,home,this_location,,normal,other-video-conferencing,,Centurylink,940mbps,940mbps,no,_101_to_120,no_org_affiliation,122,80,15,,,Mon Mar 30 2020 11:41:24 GMT-0700 (US Mountain Standard Time)
24,home,other_location,,normal,"n,o,n,e",,,,,default,default,no_org_affiliation,81,86,12,39,-95,Mon Mar 30 2020 13:51:06 GMT-0500 (Central Daylight Time)
25,home,this_location,,normal,"zoom,other-video-conferencing",,RCN,1 GBPs,30 MBps,no,default,no_org_affiliation,341,9,11,39,-77,Mon Mar 30 2020 15:51:10 GMT-0400 (Eastern Daylight Time)
26,default,default,,normal,"n,o,n,e",,,,,default,default,no_org_affiliation,47,12,33,40,-75,Mon Mar 30 2020 22:24:13 GMT-0400 (Eastern Daylight Time)
27,home,other_location,The edge house 31 makerere university kampala,worse,"zoom,skype,school-specific",,MTN Uganda,,,yes,_less_than_20,no_org_affiliation,1,2,363,,,Tue Mar 31 2020 07:14:20 GMT+0300 (East Africa Time)
28,home,other_location,Office,normal,other,"Firefox, Text editor",Grupo Peluche S.L.,100,100,no,_21_to_40,no_org_affiliation,36,56,12,,,Tue Mar 31 2020 09:31:55 GMT+0200 (CEST)
29,home,this_location,,normal,hangouts-meet,,Xfinity,980 Mbps,35 Mbps,no,_more_than_120,no_org_affiliation,228,38,9,37,-122,Tue Mar 31 2020 02:01:41 GMT-0700 (PDT)
30,home,this_location,,worse,"hangouts-meet,zoom,skype",,Spectrum,,,yes,_81_to_100,no_org_affiliation,23,11,54,,,Tue Mar 31 2020 09:06:04 GMT-0400 (EDT)
31,home,this_location,,worse,hangouts-meet,,Siti Cable,60Mbps,60Mbps,no,_less_than_20,no_org_affiliation,3,9,40,23,88,Tue Mar 31 2020 19:51:18 GMT+0530 (India Standard Time)
32,home,other_location,Work,normal,zoom,,Comcast,,,dont-know,_61_to_80,no_org_affiliation,15,5,35,45,-123,Tue Mar 31 2020 07:57:06 GMT-0700 (Pacific Daylight Time)
33,home,other_location,Office (same city),normal,"other-video-conferencing,other",VPNs,Orange,500Mbps,200Mbps,yes,_41_to_60,no_org_affiliation,768,378,5,,,Tue Mar 31 2020 18:00:28 GMT+0200 (Central European Summer Time)
34,home,other_location,77073,normal,skype,,Comcast,,,no,_61_to_80,no_org_affiliation,23,10,1,30,-95,Tue Mar 31 2020 13:30:09 GMT-0500 (CDT)
35,default,default,,normal,"n,o,n,e",,,,,default,default,no_org_affiliation,27,37,37,48,-122,Tue Mar 31 2020 15:54:20 GMT-0700 (Pacific Daylight Time)
36,home,this_location,,normal,"zoom,other-video-conferencing",Webex,Verizon,100 Mbps,100 Mbps,yes,_41_to_60,no_org_affiliation,44,23,24,,,Tue Mar 31 2020 22:46:51 GMT-0400 (EDT)
37,home,this_location,,normal,school-specific,,Comcast,150,,yes,_101_to_120,no_org_affiliation,8,12,57,35,-85,Tue Mar 31 2020 22:49:51 GMT-0400 (Eastern Daylight Time)
38,home,this_location,,normal,"n,o,n,e",,Verizon,200,200,yes,_21_to_40,no_org_affiliation,143,90,13,39,-77,Tue Mar 31 2020 23:43:57 GMT-0400 (Eastern Daylight Time)
39,home,this_location,,normal,"zoom,skype,school-specific,other",,Att,,,no,_61_to_80,no_org_affiliation,175,193,19,34,-84,Wed Apr 01 2020 00:23:17 GMT-0400 (Eastern Daylight Time)
40,home,other_location,work,normal,hangouts-meet,,,1 Gbps, 1 Gbps,no,_61_to_80,no_org_affiliation,145,131,5,,,Wed Apr 01 2020 10:04:57 GMT+0200 (Central European Summer Time)
41,home,this_location,,normal,"n,o,n,e",,Rogers ,50,,yes,_41_to_60,no_org_affiliation,6,5,44,45,-76,Wed Apr 01 2020 06:08:03 GMT-0400 (EDT)
42,home,other_location,chapel Hill nc,normal,zoom,,Google Fiber,1Gbps,1Gbps,yes,_more_than_120,media_justice,276,67,17,36,-79,Wed Apr 01 2020 07:20:55 GMT-0400 (Eastern Daylight Time)
